BH.Q	ADJ.P	PER	LAG	AMP
Gon4l	0.136719892931285	0.00754717031043186	20	18	1.06921778272359
Ywhae	0.136719892931285	0.00754717031043186	20	18	1.04212756530198
Rnf125	0.136719892931285	0.00754717031043186	24	4	1.02005181548043
Gemin2	0.136719892931285	0.00754717031043186	20	18	1.01403253755399
Unknown_1	0.136719892931285	0.00754717031043186	20	18	0.990291242504567
Foxp1	0.136719892931285	0.00754717031043186	20	18	0.984923469452609
Mef2d	0.136719892931285	0.00754717031043186	24	2	0.936489365246063
Septin6	0.136719892931285	0.00754717031043186	24	22	0.931236734618413
Cramp1	0.136719892931285	0.00754717031043186	22	19.0666666666667	0.928074185080675
Rpl30	0.136719892931285	0.00754717031043186	20	16	0.923821631151167
Tnfrsf14	0.136719892931285	0.00754717031043186	20	4	0.915611147656559
Nrp1	0.136719892931285	0.00754717031043186	22	3.11666666666667	0.909673406426862
Rab31	0.136719892931285	0.00754717031043186	20	18	0.90103318027416
Hint3	0.136719892931285	0.00754717031043186	20	8	0.900771189808485
Capza2	0.136719892931285	0.00754717031043186	20	6	0.89532255366956
Mrpl32	0.136719892931285	0.00754717031043186	20	14	0.874312005590806
Tshz2	0.136719892931285	0.00754717031043186	20	18	0.873144558210471
Huwe1	0.136719892931285	0.00754717031043186	24	6	0.869868172761251
Lin54	0.136719892931285	0.00754717031043186	24	0	0.848078106445172
Clk4	0.136719892931285	0.00754717031043186	22	11	0.833702062523791
Sin3b	0.136719892931285	0.00754717031043186	20	16	0.832454818205643
Snx5	0.136719892931285	0.00754717031043186	24	20	0.823350932557021
Taf1c	0.136719892931285	0.00754717031043186	24	2	0.818072505295026
Dab2	0.136719892931285	0.00754717031043186	24	6	0.791892256462207
Hsd17b6	0.136719892931285	0.00754717031043186	24	8	0.766862737267338
Reep1	0.136719892931285	0.00754717031043186	24	22	0.75332352010054
Pawr	0.136719892931285	0.00754717031043186	24	22	0.731548521083794
Rbm4	0.136719892931285	0.00754717031043186	24	8	0.727762882982717
Nup62	0.136719892931285	0.00754717031043186	24	8	0.714304685355164
Gpatch2l	0.136719892931285	0.00754717031043186	20	18	0.691504558564569
Retreg2	0.136719892931285	0.00754717031043186	20	2	0.682551979193999
Golph3	0.136719892931285	0.00754717031043186	24	20	0.653655717958931
Sec24a	0.136719892931285	0.00754717031043186	24	20	0.644651436162053
Eepd1	0.136719892931285	0.00754717031043186	24	22	0.569891862838216
Trim56	0.136719892931285	0.00754717031043186	20	16	0.56373132875734
Arl6ip5	0.136719892931285	0.00754717031043186	24	22	0.552663612155817
Abcc2	0.136719892931285	0.00754717031043186	24	20	0.535891054960959
Adam23	0.136719892931285	0.00754717031043186	20	2	0.430606142217881
Scamp5	0.136719892931285	0.00754717031043186	20	4	0.35557152859711
Pcbp3	0.136719892931285	0.00754717031043186	24	18	0.32363389694204
Tbxas1	0.136719892931285	0.00754717031043186	24	16	0.306968718738025
Rpl14	0.136719892931285	0.00754717031043186	20	16	0.289114531401612
